Event Type,State,City,Location,Property Type,Authorship 1,Authorship 2,Fatal Victims,Injured,Source,Lat,Lon,Address
Ataque a Propiedad,Bolívar,Achí,Zona Rural,Propiedad Rural,Guerrilla,Guerrilla-EPL,,,Justicia y Paz Vol 7 #2,8.567685,-74.5559339,"Achí, Archí, Bolivar, Colombia"
Sabotaje,Bolívar,Achí,Corregimiento Villa Uribe,Material Electoral,Guerrilla,Guerrilla No Identificada,,,Justicia y Paz Vol 7 #2,8.567685,-74.5559339,"Achí, Archí, Bolivar, Colombia"
Sabotaje,Bolívar,Achí,,Infraestructura de Comunicaciones,Guerrilla,Guerrilla-ELN,,,Noche y Niebla # 7 y 8. Pp. 62,8.567685,-74.5559339,"Achí, Archí, Bolivar, Colombia"
Asesinato Selectivo-Quema de Vehículos,Bolívar,Achí,Corregimiento Tres Cruces,Medio de Transporte,Guerrilla,Guerrilla-ERP, ,,Noche y Niebla # 15 Pp. 183,8.567685,-74.5559339,"Achí, Archí, Bolivar, Colombia"
Quema de Vehículos,Bolívar,Achí,Corregimiento Tres Cruces,Medios de Transporte,Guerrilla,Guerrilla-ERP,,,Revista Noche y Niebla # 15 Marzo Pp. 183,8.567685,-74.5559339,"Achí, Archí, Bolivar, Colombia"
Sabotaje,Cesar,Aguachica,Corregimiento Norean,Infraestructura Víal,Guerrilla,Guerrilla-ELN,,,"Justicia y Paz. Boletín informativo Abril-Junio 1989. Volumen 2, N°.2. Pp. 101",8.305925,-73.611665,"Aguachica, Aguachica, Cesar, Colombia"
Sabotaje,Cesar,Aguachica,Vía a Santa Marta,Infraestructura Víal,Guerrilla,Guerrilla-ELN,,,"Justicia y Paz. Boletín informativo Julio-Septiembre 1989. Volumen 2, N°.3. Pp. 70",8.305925,-73.611665,"Aguachica, Aguachica, Cesar, Colombia"
Quema de Vehículos,Cesar,Aguachica,Vía a Bucaramanga-sitio El Barro,Medios de Transporte,Guerrilla,Guerrilla-CGSB,,,"Boletín Informativo Justicia y Paz. Volumen 4, #1. PP. 122",8.305925,-73.611665,"Aguachica, Aguachica, Cesar, Colombia"
Sabotaje,Cesar,Aguachica,,Infraestructura Víal,Guerrilla,Guerrilla-ELN,,,Justicia y Paz Vol 5 #4,8.305925,-73.611665,"Aguachica, Aguachica, Cesar, Colombia"
Ataque a Propiedad,Cesar,Aguachica,Cabecera Municipal,Entidad Bancaria,Guerrilla,Guerrilla-ELN,,,Justicia y Paz Vol 5 #4,8.305925,-73.611665,"Aguachica, Aguachica, Cesar, Colombia"
Quema de Vehículos,Cesar,Aguachica,Zona Rural,Medios de Transporte (Bus de Servicio Público) ,Guerrilla,Guerrilla-ELN,,,Justicia y Paz Vol 5 #4,8.305925,-73.611665,"Aguachica, Aguachica, Cesar, Colombia"
Sabotaje,Cesar,Aguachica,,Infraestructura Víal,Guerrilla,Guerrilla-ELN,,,Justicia y Paz Vol 5 #4,8.305925,-73.611665,"Aguachica, Aguachica, Cesar, Colombia"
Sabotaje,Cesar,Aguachica,,Infraestructura Víal,Guerrilla,Guerrilla-ELN,,,Justicia y Paz Vol 5 #4,8.305925,-73.611665,"Aguachica, Aguachica, Cesar, Colombia"
Sabotaje,Cesar,Aguachica,,Infraestructura Víal,Guerrilla,Guerrilla-CGSB,,,Justicia y Paz Vol 5 #4,8.305925,-73.611665,"Aguachica, Aguachica, Cesar, Colombia"
Quema de Vehículos,Cesar,Aguachica,Zona Rural,Medios de Transporte (Bus de Servicio Público) ,Guerrilla,Guerrilla No Identificada,,,Justicia y Paz Vol 6 #4,8.305925,-73.611665,"Aguachica, Aguachica, Cesar, Colombia"
Sabotaje,Cesar,Aguachica,Corregimiento Boquerón,Material Electoral,Guerrilla,Guerrilla-ELN,,,Justicia y Paz Vol 7 #1,8.305925,-73.611665,"Aguachica, Aguachica, Cesar, Colombia"
Quema de Vehículos,Cesar,Aguachica,Zona Rural,Medios de Transporte,Guerrilla,Guerrilla-ELN,,,Justicia y Paz Vol 7 #3,8.305925,-73.611665,"Aguachica, Aguachica, Cesar, Colombia"
Sabotaje,Cesar,Aguachica,,Infraestructura Energética (Oleoductos),Guerrilla,Guerrilla-ELN,,,Justicia y Paz Vol 7 #4,8.305925,-73.611665,"Aguachica, Aguachica, Cesar, Colombia"
Sabotaje,Cesar,Aguachica,,Infraestructura Energética (Oleoductos),Guerrilla,Guerrilla-ELN,,,Justicia y Paz Vol 7 #4,8.305925,-73.611665,"Aguachica, Aguachica, Cesar, Colombia"
Quema de Vehículos,Cesar,Aguachica,Cerro los chivos - Corregimiento Norean ,Medios de Transporte,Guerrilla,Guerrilla-ELN,,,"Boletin Informativo Justicia y Paz, Volumen 8 #1. Pp. 51",8.305925,-73.611665,"Aguachica, Aguachica, Cesar, Colombia"
Sabotaje,Cesar,Aguachica,Zona rural,Infraestructura de Comunicaciones,Guerrilla,Guerrilla-ELN,,,"Boletin Informativo Justicia y Paz, Volumen 8 #1. Pp. 115",8.305925,-73.611665,"Aguachica, Aguachica, Cesar, Colombia"
Quema de Vehículos,Cesar,Aguachica,Sitio Platanal ,Medios de Transporte,Grupo Armado No Identificado,Grupo Armado No Identificado,,,"Boletin Informativo Justicia y Paz, Volumen 8 #2. Pp. 91",8.305925,-73.611665,"Aguachica, Aguachica, Cesar, Colombia"
Ataque a Propiedad,Cesar,Aguachica,Cabecera Municipal - barrio alto prado y alfonso lopez,Establecimiento Comercial,Grupo Armado No Identificado,Grupo Armado No Identificado,,,"Boletin Informativo Justicia y Paz, Volumen 8 #3. Pp. 83",8.305925,-73.611665,"Aguachica, Aguachica, Cesar, Colombia"
Ataque a Propiedad,Cesar,Aguachica,Zona rural,Medios de Transporte,Guerrilla,Guerrilla-ELN,,,"Boletin Informativo Justicia y Paz, Volumen 8 #4. Pp. 94",8.305925,-73.611665,"Aguachica, Aguachica, Cesar, Colombia"
Ataque a Organizaciones,Cesar,Aguachica,,Infraestructura Empresarial,Guerrilla,Guerrilla-Sin Identificar,,,"Boletin Informativo Justicia y Paz, Volumen 9 #2. Pp. 31",8.305925,-73.611665,"Aguachica, Aguachica, Cesar, Colombia"
Ataque a Propiedad,Cesar,Aguachica,,Infraestructura Empresarial,Guerrilla,Guerrilla-ELN,,,"Boletin Informativo Justicia y Paz, Volumen 9 #2. Pp. 33",8.305925,-73.611665,"Aguachica, Aguachica, Cesar, Colombia"
Quema de Vehículos,Cesar,Aguachica,,Medios de Transporte,Guerrilla,Guerrilla-ELN,,,Noche y Niebla # 1. Pp. 77,8.305925,-73.611665,"Aguachica, Aguachica, Cesar, Colombia"
