Event Type,State,City,Location,Property Type,Authorship 1,Authorship 2,Fatal Victims,Injured,Source,Lat,Lon,Address
Quema de Vehículos,Antioquia,Medellín,Casco Urbano,Medios de Transporte (Bus de Servicio Público) ,Guerrilla,Guerrilla-ELN,,,Justicia y Paz Vol 7 #2,6.2530408,-75.5645737,"Medellín, Medellin, Antioquia, Colombia"
Quema de Vehículos,Antioquia,Medellín,Casco Urbano,Medios de Transporte (Bus de Servicio Público) ,Guerrilla,Guerrilla-ELN,,,Justicia y Paz Vol 7 #2,6.2530408,-75.5645737,"Medellín, Medellin, Antioquia, Colombia"
Quema de Vehículos,Antioquia,Medellín,Casco Urbano,Medios de Transporte (Bus de Servicio Público) ,Guerrilla,Guerrilla-ELN,,,Justicia y Paz Vol 7 #2,6.2530408,-75.5645737,"Medellín, Medellin, Antioquia, Colombia"
Quema de Vehículos,Antioquia,Medellín,Casco Urbano,Medios de Transporte (Bus de Servicio Público) ,Guerrilla,Guerrilla-ELN,,,Justicia y Paz Vol 7 #2,6.2530408,-75.5645737,"Medellín, Medellin, Antioquia, Colombia"
Quema de Vehículos,Antioquia,Medellín,Casco Urbano,Medios de Transporte (Bus de Servicio Público) ,Guerrilla,Guerrilla-ELN,,,Justicia y Paz Vol 7 #2,6.2530408,-75.5645737,"Medellín, Medellin, Antioquia, Colombia"
Quema de Vehículos,Antioquia,Medellín,Casco Urbano,Medios de Transporte (Bus de Servicio Público) ,Guerrilla,Guerrilla-ELN,,,Justicia y Paz Vol 7 #2,6.2530408,-75.5645737,"Medellín, Medellin, Antioquia, Colombia"
Ataque a Propiedad,Antioquia,Medellín,Casco Urbano,Entidad Bancaria,Guerrilla,Guerrilla-ELN,,,Justicia y Paz Vol 7 #2,6.2530408,-75.5645737,"Medellín, Medellin, Antioquia, Colombia"
Ataque a Propiedad,Antioquia,Medellín,Casco Urbano,Entidad Bancaria,Guerrilla,Guerrilla-ELN,,,Justicia y Paz Vol 7 #2,6.2530408,-75.5645737,"Medellín, Medellin, Antioquia, Colombia"
Ataque a Propiedad,Antioquia,Medellín,Casco Urbano,Entidad Bancaria,Guerrilla,Guerrilla-ELN,,,Justicia y Paz Vol 7 #2,6.2530408,-75.5645737,"Medellín, Medellin, Antioquia, Colombia"
Ataque a Propiedad,Antioquia,Medellín,Casco Urbano,Entidad Bancaria,Guerrilla,Guerrilla-ELN,,,Justicia y Paz Vol 7 #2,6.2530408,-75.5645737,"Medellín, Medellin, Antioquia, Colombia"
Ataque a Propiedad,Antioquia,Medellín,Casco Urbano,Entidad Bancaria,Guerrilla,Guerrilla-ELN,,,Justicia y Paz Vol 7 #2,6.2530408,-75.5645737,"Medellín, Medellin, Antioquia, Colombia"
Ataque a Propiedad,Antioquia,Medellín,Casco Urbano,Entidad Bancaria,Guerrilla,Guerrilla-ELN,,,Justicia y Paz Vol 7 #2,6.2530408,-75.5645737,"Medellín, Medellin, Antioquia, Colombia"
Ataque a Propiedad,Antioquia,Medellín,Casco Urbano,Entidad Bancaria,Guerrilla,Guerrilla-ELN,,,Justicia y Paz Vol 7 #2,6.2530408,-75.5645737,"Medellín, Medellin, Antioquia, Colombia"
Ataque a Propiedad,Antioquia,Medellín,Casco Urbano,Entidad Bancaria,Guerrilla,Guerrilla-ELN,,,Justicia y Paz Vol 7 #2,6.2530408,-75.5645737,"Medellín, Medellin, Antioquia, Colombia"
Ataque a Propiedad,Antioquia,Medellín,Casco Urbano,Entidad Bancaria,Guerrilla,Guerrilla-ELN,,,Justicia y Paz Vol 7 #2,6.2530408,-75.5645737,"Medellín, Medellin, Antioquia, Colombia"
Ataque a Propiedad,Antioquia,Medellín,Casco Urbano,Entidad Bancaria,Guerrilla,Guerrilla-ELN,,,Justicia y Paz Vol 7 #2,6.2530408,-75.5645737,"Medellín, Medellin, Antioquia, Colombia"
Quema de Vehículos,Antioquia,Medellín,Barrio El Jardin ,Medios de Transporte (Bus de Servicio Público) ,Guerrilla,Guerrilla No Identificada,,,Justicia y Paz Vol 7 #3,6.2530408,-75.5645737,"Medellín, Medellin, Antioquia, Colombia"
Quema de Vehículos,Antioquia,Medellín,ID San Antonio de Prado,Medios de Transporte (Bus de Servicio Público) ,Grupo Armado No Identificado,Grupo Armado No Identificado,,,Justicia y Paz Vol 7 #4,6.2530408,-75.5645737,"Medellín, Medellin, Antioquia, Colombia"
Quema de Vehículos,Antioquia,Medellín,Casco Urbano,Medios de Transporte (Bus de Servicio Público) ,Guerrilla,Guerrilla No Identificada,,,Justicia y Paz Vol 7 #4,6.2530408,-75.5645737,"Medellín, Medellin, Antioquia, Colombia"
Quema de Vehículos,Antioquia,Medellín,Cabecera Municipal - Barrio cordoba ,Medios de Transporte,Grupo Armado No Identificado,Grupo Armado No Identificado,,,"Boletin Informativo Justicia y Paz, Volumen 8 #2. Pp. 92",6.2530408,-75.5645737,"Medellín, Medellin, Antioquia, Colombia"
Quema de Vehículos,Antioquia,Medellín,Zona rural,Medios de Transporte,Guerrilla,Guerrilla-ELN,,,"Boletin Informativo Justicia y Paz, Volumen 8 #2. Pp. 92",6.2530408,-75.5645737,"Medellín, Medellin, Antioquia, Colombia"
Quema de Vehículos,Antioquia,Medellín,Sitio La primavera,Medios de Transporte,Guerrilla,Guerrilla No Identificada,,,"Boletin Informativo Justicia y Paz, Volumen 8 #2. Pp. 116",6.2530408,-75.5645737,"Medellín, Medellin, Antioquia, Colombia"
Quema de Vehículos,Antioquia,Medellín,Cabecera municipal,Medios de Transporte,Guerrilla,Guerrilla-ELN,,,"Boletin Informativo Justicia y Paz, Volumen 8 #3. Pp. 45",6.2530408,-75.5645737,"Medellín, Medellin, Antioquia, Colombia"
Sabotaje,Antioquia,Medellín,Cabecera municipal- Barrio tricentenario,Infraestructura Víal,Grupo Armado No Identificado,Grupo Armado No Identificado,6,60,"Boletin Informativo Justicia y Paz, Volumen 8 #4. Pp. 45",6.2530408,-75.5645737,"Medellín, Medellin, Antioquia, Colombia"
Quema de Vehículos,Antioquia,Medellín,Cabecera Municipal - Barrio buenos aires-urbanizacion quina linda,Medios de Transporte,Grupo Armado No Identificado,Grupo Armado No Identificado,,,"Boletin Informativo Justicia y Paz, Volumen 8 #4. Pp. 46",6.2530408,-75.5645737,"Medellín, Medellin, Antioquia, Colombia"
Quema de Vehículos,Antioquia,Medellín,Cabecera municipal,Medios de Transporte,Guerrilla,Guerrilla-FARC,1,1,"Boletin Informativo Justicia y Paz, Volumen 8 #4. Pp. 47",6.2530408,-75.5645737,"Medellín, Medellin, Antioquia, Colombia"
Quema de Vehículos,Antioquia,Medellín,Cabecera Municipal,Medios de Transporte,Guerrilla,Guerrilla-Sin Identificar,,,"Boletin Informativo Justicia y Paz, Volumen 9 #2. Pp. 30",6.2530408,-75.5645737,"Medellín, Medellin, Antioquia, Colombia"
Quema de Vehículos,Antioquia,Medellín,IP San Cristóbal,Medios de Transporte,Guerrilla,Guerrilla-Sin Identificar,,,"Boletin Informativo Justicia y Paz, Volumen 9 #2. Pp. 32",6.2530408,-75.5645737,"Medellín, Medellin, Antioquia, Colombia"
Quema de Vehículos,Antioquia,Medellín,,Medios de Transporte,Guerrilla,Guerrilla-Sin Identificar,,,"Boletin Informativo Justicia y Paz, Volumen 9 #2. Pp. 35",6.2530408,-75.5645737,"Medellín, Medellin, Antioquia, Colombia"
Quema de Vehículos,Antioquia,Medellín,Cabecera Municipal,Medios de Transporte,Guerrilla,Guerrilla-ELN,,,Noche y Niebla # 1. Pp. 62,6.2530408,-75.5645737,"Medellín, Medellin, Antioquia, Colombia"
Quema de Vehículos,Antioquia,Medellín,Cabecera Municipal,Medios de Transporte,Guerrilla,Guerrilla-ELN,,,Noche y Niebla # 1. Pp. 62,6.2530408,-75.5645737,"Medellín, Medellin, Antioquia, Colombia"
Quema de Vehículos,Antioquia,Medellín,Cabecera Municipal,Medios de Transporte,Guerrilla,Guerrilla-FARC,,,Noche y Niebla # 1. Pp. 62,6.2530408,-75.5645737,"Medellín, Medellin, Antioquia, Colombia"
Ataque a Instituciones,Antioquia,Medellín,Cabecera Municipal,Entidades Públicas,Guerrilla,Guerrilla-ELN,,,Noche y Niebla # 1. Pp. 68,6.2530408,-75.5645737,"Medellín, Medellin, Antioquia, Colombia"
Quema de Vehículos,Antioquia,Medellín,Cabecera Municipal,Medios de Transporte,Guerrilla,Guerrilla-FARC,,,Noche y Niebla # 1. Pp. 70,6.2530408,-75.5645737,"Medellín, Medellin, Antioquia, Colombia"
Acciones Bélicas,Antioquia,Medellín,,,Grupo Armado No Identificado,Grupo Armado No Identificado,,,Noche y Niebla # 1. Pp. 109,6.2530408,-75.5645737,"Medellín, Medellin, Antioquia, Colombia"
Ataque a Instituciones,Antioquia,Medellín,Cabecera Municipal,Entidades Públicas,Guerrilla,Guerrilla-ELN,,,Noche y Niebla # 1. Pp. 80,6.2530408,-75.5645737,"Medellín, Medellin, Antioquia, Colombia"
Ataque a Instituciones,Antioquia,Medellín,Cabecera Municipal,Infraestructura Educativa,Guerrilla,Guerrilla-ELN,,,Noche y Niebla # 1. Pp. 80,6.2530408,-75.5645737,"Medellín, Medellin, Antioquia, Colombia"
Quema de Vehículos,Antioquia,Medellín,,Medios de Transporte,Guerrilla,Guerrilla-ELN,,,Noche y Niebla # 1. Pp. 80,6.2530408,-75.5645737,"Medellín, Medellin, Antioquia, Colombia"
Ataque a Propiedad,Antioquia,Medellín,Cabecera Municipal,Establecimiento Comercial,Guerrilla,Guerrilla No Identificada,,,Noche y Niebla # 1. Pp. 81,6.2530408,-75.5645737,"Medellín, Medellin, Antioquia, Colombia"
Quema de Vehículos,Antioquia,Medellín,Cabecera Municipal,Medios de Transporte,Guerrilla,Guerrilla-ELN,,,Noche y Niebla # 4. Pp. 130,6.2530408,-75.5645737,"Medellín, Medellin, Antioquia, Colombia"
Ataque a Organizaciones,Antioquia,Medellín,Cabecera Municipal,Sede Gremial,Guerrilla,Guerrilla-FARC,,11,Noche y Niebla # 4. Pp. 127,6.2530408,-75.5645737,"Medellín, Medellin, Antioquia, Colombia"
Quema de Vehículos,Antioquia,Medellín,Cabecera Municipal,Medios de Transporte,Guerrilla,Guerrilla No Identificada,,,Noche y Niebla # 4. Pp. 131,6.2530408,-75.5645737,"Medellín, Medellin, Antioquia, Colombia"
Ataque a Propiedad,Antioquia,Medellín,Cabecera Municipal,Infraestructura Empresarial,Guerrilla,Guerrilla No Identificada,,,Noche y Niebla # 5. Pp. 98,6.2530408,-75.5645737,"Medellín, Medellin, Antioquia, Colombia"
Quema de Vehículos,Antioquia,Medellín,Cabecera Municipal - Barrio Padro Centro,Medios de Transporte,Guerrilla,Guerrilla-FARC,,,Noche y Niebla # 5. Pp. 99,6.2530408,-75.5645737,"Medellín, Medellin, Antioquia, Colombia"
Quema de Vehículos,Antioquia,Medellín,Cabecera Municipal,Medios de Transporte,Guerrilla,Guerrilla No Identificada,,,Noche y Niebla # 5. Pp. 114,6.2530408,-75.5645737,"Medellín, Medellin, Antioquia, Colombia"
Ataque a Propiedad,Antioquia,Medellín,Cabecera Municipal-Barrio Juan XXIII,Vivienda,Guerrilla,Milicias Populares,4,,Noche y Niebla # 7 y 8 Pp. 42,6.2530408,-75.5645737,"Medellín, Medellin, Antioquia, Colombia"
Masacre,Antioquia,Medellín,Cabecera Municipal,Vivienda,Guerrilla,Guerrilla-ELN,,,Noche y Niebla # 7 y 8 Pp. 42,6.2530408,-75.5645737,"Medellín, Medellin, Antioquia, Colombia"
Quema de Vehículos,Antioquia,Medellín,Barrio Santa Mónica ,Medio de Transporte,Guerrilla,Milicias Populares,,,Noche y Niebla # 7 y 8. Pp. 106,6.2530408,-75.5645737,"Medellín, Medellin, Antioquia, Colombia"
Quema de Vehículos,Antioquia,Medellín,Vía del barrio San Javier - La Loma al Corregimiento San Cristóbal,Medios de Transporte,Grupo Armado No Identificado,Grupo Armado No Identificado,,,Noche y Niebla # 7 y 8. Pp. 123,6.2530408,-75.5645737,"Medellín, Medellin, Antioquia, Colombia"
Quema de Vehículos,Antioquia,Medellín,Vía a Bogotá D.C. - Sitio La Mañosa ,Medios de Transporte,Guerrilla,Guerrilla-ELN,,,Noche y Niebla # 7 y 8. Pp. 132,6.2530408,-75.5645737,"Medellín, Medellin, Antioquia, Colombia"
Ataque a Propiedad,Antioquia,Medellín,,Entidad Bancaria,Guerrilla,Guerrilla-ELN,,,Noche y Niebla # 9. Pp. 40,6.2530408,-75.5645737,"Medellín, Medellin, Antioquia, Colombia"
Atentado Terrorista,Antioquia,Medellín,,Infraestructura Educativa,Guerrilla,Guerrilla-FARC,,,Noche y Niebla #10. Pp. 66,6.2530408,-75.5645737,"Medellín, Medellin, Antioquia, Colombia"
Quema de Vehículos,Antioquia,Medellín,,Medios de Transporte,Grupo Armado No Identificado,Grupo Armado No Identificado,,,Noche y Niebla #11. Pp. 49,6.2530408,-75.5645737,"Medellín, Medellin, Antioquia, Colombia"
Ataque a Instituciones,Antioquia,Medellín,Cabecera Municipal-Universidad de Antioquia,Infraestructura Educativa,Guerrilla,Guerrilla-FARC,,,Noche y Niebla #11. Pp. 67,6.2530408,-75.5645737,"Medellín, Medellin, Antioquia, Colombia"
Quema de Vehículos,Antioquia,Medellín,,Medios de Transporte,Guerrilla,Guerrilla No Identificada,,,Noche y Niebla #12. Pp. 117,6.2530408,-75.5645737,"Medellín, Medellin, Antioquia, Colombia"
Atentado Terrorista,Antioquia,Medellín,Cabecera Municipal,Medios de Transporte y Vivienda,Guerrilla,Guerrilla-FARC,,,Noche y Niebla # 13 Defensoría del Pueblo. Masacres ocurridas en 1999. Luz para la Vida Pp. 46-47,6.2530408,-75.5645737,"Medellín, Medellin, Antioquia, Colombia"
Ataque a Propiedad,Antioquia,Medellín,Cabecera Municipal-Barrio El Poblado,Entidad Bancaria,Guerrilla,Guerrilla-ELN,,,Noche y Niebla #14. Pp. 79,6.2530408,-75.5645737,"Medellín, Medellin, Antioquia, Colombia"
Atentado,Antioquia,Medellín,,Vivienda Urbana,Grupo Armado No Identificado,Grupo Armado No Identificado,,5,Noche y Niebla #14. Pp. 109,6.2530408,-75.5645737,"Medellín, Medellin, Antioquia, Colombia"
Atentado Terrorista,Antioquia,Medellín,Barrio El Poblado,Infraestructura Eléctrica,Guerrilla,Guerrilla-ELN,,,Noche y Niebla #14. Pp. 134,6.2530408,-75.5645737,"Medellín, Medellin, Antioquia, Colombia"
Ataque a Instituciones,Antioquia,Medellín,,Entidades Públicas,Guerrilla,Guerrilla-ELN,,,Noche y Niebla #14. Pp. 134,6.2530408,-75.5645737,"Medellín, Medellin, Antioquia, Colombia"
Ataque a Propiedad,Antioquia,Medellín,Cabecera Municipal,Establecimiento Comercial,Guerrilla,Guerrilla-ELN,,,Revista Noche y Niebla # 15 enero Pp. 23,6.2530408,-75.5645737,"Medellín, Medellin, Antioquia, Colombia"
Sabotaje,Antioquia,Medellín,Corregimiento San Antonio de Prado,Infraestructura Eléctrica,Guerrilla,Guerrilla No Identificada,,,Revista Noche y Niebla # 15 Febrero Pp. 14,6.2530408,-75.5645737,"Medellín, Medellin, Antioquia, Colombia"
Ataque a Propiedad,Antioquia,Medellín,Cabecera Municipal,Infraestructura Empresarial - Vivienda Urbana - Medios de Transporte,Guerrilla,Guerrilla-FARC,2,18,Revista Noche y Niebla # 15 Marzo Pp. 161,6.2530408,-75.5645737,"Medellín, Medellin, Antioquia, Colombia"
Quema de Vehículos,Antioquia,Medellín,Corregimiento San Cristobal,Medios de Transporte,Guerrilla,Guerrilla-ELN,,,Revista Noche y Niebla # 16 Abril  Pp. 52,6.2530408,-75.5645737,"Medellín, Medellin, Antioquia, Colombia"
Sabotaje,Antioquia,Medellín,Cabecera Municipal - Barrio Santo Domingo,Medios de Transporte,Guerrilla,Guerrilla-ELN,,,Revista Noche y Niebla # 16 Abril  Pp. 62,6.2530408,-75.5645737,"Medellín, Medellin, Antioquia, Colombia"
Sabotaje,Antioquia,Medellín,Cabecera Municipal,Infraestructura Eléctrica,Guerrilla,Guerrilla-ELN,,,Revista Noche y Niebla # 17Julio Pp. 50,6.2530408,-75.5645737,"Medellín, Medellin, Antioquia, Colombia"
Sabotaje,Antioquia,Medellín,Cabecera Municipal - Barrio Villatina,Infraestructura Eléctrica,Guerrilla,Guerrilla-ELN,,,Revista Noche y Niebla # 17 Julio Pp. 52,6.2530408,-75.5645737,"Medellín, Medellin, Antioquia, Colombia"
Sabotaje,Antioquia,Medellín,Cabecera Municipal - Barrio Balencito,Infraestructura Eléctrica,Guerrilla,Guerrilla-ELN, ,,Revista Noche y Niebla # 17 Juilo Pp. 74,6.2530408,-75.5645737,"Medellín, Medellin, Antioquia, Colombia"
Sabotaje,Antioquia,Medellín,Cabecera Municipal - Barrio La Granjas,Medios de Transporte,Guerrilla,Guerrilla-ELN, ,,Revista Noche y Niebla # 17 Julio Pp. 83,6.2530408,-75.5645737,"Medellín, Medellin, Antioquia, Colombia"
Sabotaje,Antioquia,Medellín,Cabecera Municipal,Infraestructura Eléctrica,Guerrilla,Guerrilla-ELN, ,,Revista Noche y Niebla # 17 Agosto Pp. 113,6.2530408,-75.5645737,"Medellín, Medellin, Antioquia, Colombia"
Ataque a Instituciones,Antioquia,Medellín,Cabecera Municipal,Infraestrutura Educativa y Médica,Guerrilla,Guerrilla-FARC, ,,Revista Noche y Niebla # 17 Agosto Pp. 128,6.2530408,-75.5645737,"Medellín, Medellin, Antioquia, Colombia"
Sabotaje,Antioquia,Medellín,Cabecera Municipal,Medios de Transporte,Guerrilla,Guerrilla-FARC, ,,Revista Noche y Niebla # 17 Agosto Pp. 128,6.2530408,-75.5645737,"Medellín, Medellin, Antioquia, Colombia"
Ataque a Propiedad,Antioquia,Medellín,Cabecera Municipal - Barrio Cristo Rey,Establecimiento Comercial,Grupos Paramilitares,Grupos Paramilitares,,,Revista Noche y Niebla # 18 Octubre Pp. 71,6.2530408,-75.5645737,"Medellín, Medellin, Antioquia, Colombia"
Ataque a Propiedad,Antioquia,Medellín,Cabecera Municipal - Barrio Florida,Establecimiento Comercial,Grupos Paramilitares,Grupos Paramilitares,,,Revista Noche y Niebla # 18 Octubre Pp. 71,6.2530408,-75.5645737,"Medellín, Medellin, Antioquia, Colombia"
Sabotaje,Antioquia,Medellín,Cabecera Municipal - Barrio Robledo,Medios de Transporte,Guerrilla,Guerrilla-FARC, ,,Revista Noche y Niebla # 18 Octubre Pp. 81,6.2530408,-75.5645737,"Medellín, Medellin, Antioquia, Colombia"
Ataque a Propiedad,Antioquia,Medellín,Cabecera Municipal - Barrio Laureles,Infraestructura Empresarial,Guerrilla,Guerrilla-ELN,,,Revista Noche y Niebla # 18 Noviembre Pp. 154,6.2530408,-75.5645737,"Medellín, Medellin, Antioquia, Colombia"
Ataque a Propiedad,Antioquia,Medellín,Cabecera Municipal - Barrio Laureles,Infraestructura Empresarial,Guerrilla,Guerrilla-ELN,,,Revista Noche y Niebla # 18 Noviembre Pp. 154,6.2530408,-75.5645737,"Medellín, Medellin, Antioquia, Colombia"
Sabotaje,Antioquia,Medellín,Cabecera Municipal,Infraestructura Eléctrica,Guerrilla,Guerrilla-ELN,,, Noche y Niebla # 19 Pp. 179,6.2530408,-75.5645737,"Medellín, Medellin, Antioquia, Colombia"
Sabotaje,Antioquia,Medellín,,Infraestructura Eléctrica,Guerrilla,Guerrilla-ELN,,, Noche y Niebla # 19 Pp. 182,6.2530408,-75.5645737,"Medellín, Medellin, Antioquia, Colombia"
Ataque a Propiedad,Antioquia,Medellín,Cabecera Municipal - Cra. 82 con Calle 54,Infraestructura Empresarial,Guerrilla,Guerrilla-FARC,,, Noche y Niebla # 19 Pp. 197,6.2530408,-75.5645737,"Medellín, Medellin, Antioquia, Colombia"
Sabotaje,Antioquia,Medellín,Caserio La Culebra,Medios de Transporte,Guerrilla,Guerrilla-ELN,,, Noche y Niebla # 20 Pp. 53,6.2530408,-75.5645737,"Medellín, Medellin, Antioquia, Colombia"
Atentado,Antioquia,Medellín,Cabecera Municipal - Barrios Laureles,Vivienda Urbana,Guerrilla,Guerrilla-FARC,,1, Noche y Niebla # 20 Pp. 58,6.2530408,-75.5645737,"Medellín, Medellin, Antioquia, Colombia"
Ataque a Propiedad,Antioquia,Medellín,Cabecera Municipal,Infraestructura Empresarial,Guerrilla,Guerrilla-ELN,,, Noche y Niebla # 20 Pp. 199,6.2530408,-75.5645737,"Medellín, Medellin, Antioquia, Colombia"
Asesinato Selectivo,Antioquia,Medellín,Cabecera Municipal - Barrio Belén Altavista,Vivienda,Grupos Paramilitares,Grupos Paramilitares, ,,"Revista Noche y Niebla # 21  Julio - Septiembre  2001, Página 76",6.2530408,-75.5645737,"Medellín, Medellin, Antioquia, Colombia"
Sabotaje,Antioquia,Medellín,,Infraestructura Eléctrica,Guerrilla,Guerrilla-ELN,,, Noche y Niebla # 21 Pp. 113,6.2530408,-75.5645737,"Medellín, Medellin, Antioquia, Colombia"
Sabotaje,Antioquia,Medellín,Cabecera Municipal - Barrio La Asomadera,Infraestructura Eléctrica,Guerrilla,Guerrilla-ELN,,, Noche y Niebla # 21 Pp. 113,6.2530408,-75.5645737,"Medellín, Medellin, Antioquia, Colombia"
Ataque a Propiedad,Antioquia,Medellín,Cabecera Municipal,Entidad Bancaria,Guerrilla,Guerrilla-ELN,,, Noche y Niebla # 21 Pp. 114,6.2530408,-75.5645737,"Medellín, Medellin, Antioquia, Colombia"
Sabotaje,Antioquia,Medellín,Cabecera Municipal  - Barrio Calazans,Infraestructura Eléctrica,Guerrilla,Guerrilla-FARC,,, Noche y Niebla # 22 Pp. 78,6.2530408,-75.5645737,"Medellín, Medellin, Antioquia, Colombia"
Quema de Vehículos,Antioquia,Medellín,Barrio 20 de Julio,Medios de Transporte,Guerrilla,Guerrilla No Identificada,,, Noche y Niebla # 24 Pp. 12,6.2530408,-75.5645737,"Medellín, Medellin, Antioquia, Colombia"
Masacre,Antioquia,Medellín,Cabecera Municipal,Vivienda,Fuerza Pública,Ejército Nacional,,,Noche y Niebla # 24 Pp. 73-74,6.2530408,-75.5645737,"Medellín, Medellin, Antioquia, Colombia"
Asesinato Selectivo,Antioquia,Medellín,"Cabecera Municipal-Barrio El Salado-Comuna 13, sectores 6 y 7",Vivienda,Grupos Paramilitares,Grupos Paramilitares,,,Noche y Niebla # 24 Pp. 133,6.2530408,-75.5645737,"Medellín, Medellin, Antioquia, Colombia"
Sabotaje,Antioquia,Medellín,Cabecera Municipal - Barrio Carpinelo,Medios de Transporte,Guerrilla,Guerrilla-ELN,,, Noche y Niebla # 25 Pp. 65,6.2530408,-75.5645737,"Medellín, Medellin, Antioquia, Colombia"
Asesinato Selectivo-Quema de Vehículos,Antioquia,Medellín,Cabecera Municipal-Barrio Blanquizal,Medio de Transporte,Grupo Armado No Identificado,Grupo Armado No Identificado,,,Noche y Niebla # 24 Pp. 69,6.2530408,-75.5645737,"Medellín, Medellin, Antioquia, Colombia"
Asesinato Selectivo-Quema de Vehículos,Antioquia,Medellín,Cabecera Municipal-Barrio Olaya Herrera,Medio de Transporte,Grupos Paramilitares,Grupos Paramilitares,,,Noche y Niebla # 24 Pp. 70,6.2530408,-75.5645737,"Medellín, Medellin, Antioquia, Colombia"
Sabotaje,Antioquia,Medellín,Cabecera Municipal - Barrio Zamora,Infraestructura Eléctrica,Guerrilla,Guerrilla-ELN,,, Noche y Niebla # 20 Pp. 211,6.2530408,-75.5645737,"Medellín, Medellin, Antioquia, Colombia"
Ataque a Propiedad,Antioquia,Medellín,"Cabecera Municipal - Barrios La América, La Floresta, parque Bolívar",Infraestructura Empresarial,Guerrilla,Guerrilla-Sin Identificar,,, Noche y Niebla # 21 Pp. 65,6.2530408,-75.5645737,"Medellín, Medellin, Antioquia, Colombia"
Acciones Bélicas-Ataque a Instituciones,Cundinamarca ,Medina,Cabecera Municipal,Entidades Públicas,Guerrilla,Guerrilla-FARC,,,,4.508399,-73.349853,"Medina, Medina, Cundinamarca, Colombia"
Sabotaje,Cundinamarca,Medina,Inspecciones de Policía La Esmeralda y Santa Teresita,Material Electoral,Guerrilla,Guerrilla No Identificada,,,Noche y Niebla # 7 y 8. Pp. 62,4.508399,-73.349853,"Medina, Medina, Cundinamarca, Colombia"
Acciones Bélicas,Chocó,Medio San Juan,Corregimiento Bebedó,,Guerrilla-Grupos Paramilitares,Grupos Paramilitares-FARC,,,Noche y Niebla # 30. Pp. 239,5.2528033,-76.8259652,"Choco, Colombia"
Quema de Vehículos,Tolima,Melgar,Vía al Espinal,Medios de Transporte,Guerrilla,Guerrilla-FARC,,,Noche y Niebla # 29 Pp. 187,4.203572,-74.643383,"Melgar, Melgar, Tolima, Colombia"
Quema de Vehículos,Cauca,Mercaderes,Sitio Pan de Azúcar,Medios de Transporte,Guerrilla,Guerrilla-CGSB,,,"Boletín Informativo Justicia y Paz. Volumen 3, #4. Pp 80",1.795801,-77.163397,"Mercaderes, Mercaderes, Cauca Department, Colombia"
Quema de Vehículos,Cauca,Mercaderes,,Medios de Transporte,Guerrilla,Guerrilla No Identificada,,,"Boletín Informativo Justicia y Paz. Volumen 4, #1. PP. 80",1.795801,-77.163397,"Mercaderes, Mercaderes, Cauca Department, Colombia"
Quema de Vehículos,Cauca,Mercaderes,Sitio El cocal,Medios de Transporte,Grupo Armado No Identificado,Grupo Armado No Identificado,1,1,"Boletin Informativo Justicia y Paz, Volumen 8 #4. Pp. 92",1.795801,-77.163397,"Mercaderes, Mercaderes, Cauca Department, Colombia"
Quema de Vehículos,Cauca,Mercaderes,IP El Badó,Medios de Transporte,Guerrilla,Guerrilla-FARC,,,Noche y Niebla # 4. Pp. 100,1.795801,-77.163397,"Mercaderes, Mercaderes, Cauca Department, Colombia"
Quema de Vehículos,Cauca,Mercaderes,IP Mojarras - Vía Panamericana,Medios de Transporte,Guerrilla,Guerrilla-ELN,,,Revista Noche y Niebla # 18 Noviembre Pp. 154,1.795801,-77.163397,"Mercaderes, Mercaderes, Cauca Department, Colombia"
Masacre,Meta,Mesetas,,"Bienes culturales y lugares de culto-Infraestructura educativa y médica-Propiedad rural-Mercancías u objetos materiales

",Fuerza Pública,Ejército Nacional,,,Colombia Nunca Más. Crímenes de Lesa Humanidad Zona 7 Pp. 256,3.381995,-74.043801,"Mesetas, Mesetas, Meta, Colombia"
Sabotaje,Meta,Mesetas,,Infraestructura de Comunicaciones,Guerrilla,Guerrilla-FARC,,,"Boletín Informativo Justicia y Paz. Volumen 4, #1. PP. 42",3.381995,-74.043801,"Mesetas, Mesetas, Meta, Colombia"
Sabotaje,Meta,Mesetas,Sitio Tres Filos,Infraestructura Eléctrica ,Guerrilla,Guerrilla-FARC,,,"Boletín Informativo Justicia y Paz. Volumen 4, #1. PP. 42",3.381995,-74.043801,"Mesetas, Mesetas, Meta, Colombia"
Quema de Vehículos,Meta,Mesetas,Vía Mesetas - IP Jardín de Peñas,Medios de Transporte,Guerrilla,Guerrilla-FARC,,, Noche y Niebla # 39 Pp. 108,3.381995,-74.043801,"Mesetas, Mesetas, Meta, Colombia"
Quema de Vehículos,Caquetá,Milán,Zona Rural,Medios de Transporte (Bus de Servicio Público) ,Guerrilla,Guerrilla No Identificada,,,Justicia y Paz Vol 6 #3,1.290718,-75.507539,"Milán, Milán, Caquetá, Colombia"
Acciones Bélicas-Masacre,Caquetá,Milán,Cabecera Municipal,Vivienda/Lugares de Culto/Medios de Transporte,Guerrilla,Guerrilla-FARC,,,Noche y Niebla # 23 Pp. 1,1.290718,-75.507539,"Milán, Milán, Caquetá, Colombia"
