Tipo de evento,Departamento,Municipio,Corregimiento,Año,Mes,Evento,COD_DANE_MUNI,COD_DANE_DEPTO,Tipo de lugar,Tipo de area,Rotulo
Accidente por MAP,META,SAN JUAN DE ARAMA,SAN JUAN DE ARAMA,2009,8,Accidente,50683,50,,Rural,1
Accidente por MAP,ANTIOQUIA,APARTADÓ,APARTADÓ,2009,7,Accidente,5045,5,,Rural,1
Accidente por MAP,BOLIVAR,ZAMBRANO,ZAMBRANO,2005,1,Accidente,13894,13,,Rural,1
Accidente por MAP,PUTUMAYO,PUERTO GUZMÁN,PUERTO GUZMÁN,2009,8,Accidente,86571,86,,Rural,1
Accidente por MAP,META,EL CASTILLO,EL CASTILLO,2009,8,Accidente,50251,50,,Rural,1
Accidente por MAP,NARIÑO,SANTA CRUZ,GUACHAVES,2009,8,Accidente,52699,52,,Rural,1
Accidente por MAP,NARIÑO,SANTA CRUZ,GUACHAVES,2009,8,Accidente,52699,52,,Rural,1
Accidente por MAP,CAQUETA,EL PAUJIL,EL PAUJIL,2009,4,Accidente,18256,18,,Rural,1
Accidente por MAP,BOLIVAR,EL CARMEN DE BOLÍVAR,EL CARMEN DE BOLÍVAR,2003,4,Accidente,13244,13,,Rural,1
Accidente por MAP,LA GUAJIRA,URIBIA,URIBIA,2009,6,Accidente,44847,44,,Rural,1
Accidente por MAP,CESAR,VALLEDUPAR,ATANQUEZ,1994,5,Accidente,20001,20,En cerca edificio residencial,Rural,1
Accidente por MAP,ARAUCA,TAME,TAME,2009,5,Accidente,81794,81,,Rural,1
Accidente por MAP,ANTIOQUIA,CAMPAMENTO,CAMPAMENTO,2009,7,Accidente,5134,5,,Rural,1
Accidente por MAP,ANTIOQUIA,SONSÓN,SONSÓN,2009,6,Accidente,5756,5,en sobre cerca rivera de un rio,Rural,1
Accidente por MAP,ANTIOQUIA,VALDIVIA,VALDIVIA,2009,3,Accidente,5854,5,,Rural,1
Accidente por MAP,CORDOBA,PUERTO LIBERTADOR,PUERTO LIBERTADOR,2009,6,Accidente,23580,23,,Rural,1
Accidente por MAP,ARAUCA,FORTUL,FORTUL,2000,1,Accidente,81300,81,,Rural,1
Accidente por MAP,CESAR,CURUMANÍ,CURUMANÍ,2009,2,Accidente,20228,20,,Rural,1
Accidente por MAP,META,EL CASTILLO,EL CASTILLO,2008,9,Accidente,50251,50,,Rural,1
Accidente por MAP,VALLE DEL CAUCA,FLORIDA,FLORIDA,2008,8,Accidente,76275,76,,Rural,1
Accidente por MAP,TOLIMA,PLANADAS,PLANADAS,2008,9,Accidente,73555,73,,Rural,1
Accidente por MUSE,CAQUETA,MONTAÑITA,LA MONTAÑITA,2008,2,Accidente,18410,18,,Rural,1
Accidente por MAP,CORDOBA,TIERRALTA,,2008,2,Accidente,23807,23,,Rural,1
Accidente por MAP,BOLIVAR,SIMITÍ,SIMITÍ,2008,9,Accidente,13744,13,Cerros,Rural,1
Accidente por MAP,CORDOBA,TIERRALTA,TIERRALTA,2008,9,Accidente,23807,23,Camino,Rural,1
Accidente por MAP,VALLE DEL CAUCA,FLORIDA,FLORIDA,2008,9,Accidente,76275,76,,Rural,1
Accidente por MAP,CORDOBA,TIERRALTA,TIERRALTA,2008,9,Accidente,23807,23,Cerros,Rural,1
Accidente por MAP,META,URIBE,URIBE,2008,9,Accidente,50370,50,,Rural,1
Accidente por MAP,NARIÑO,RICAURTE,RICAURTE,2008,2,Accidente,52612,52,,Rural,1
Accidente por MAP,NARIÑO,SAMANIEGO,SAMANIEGO,2008,8,Accidente,52678,52,,Rural,1
Accidente por MAP,NARIÑO,SAMANIEGO,SAMANIEGO,2008,4,Accidente,52678,52,,Rural,1
Accidente por MAP,CAQUETA,PUERTO RICO,LA AGUILILLA,2008,7,Accidente,18592,18,,Rural,1
Accidente por MAP,CORDOBA,PUERTO LIBERTADOR,PUERTO LIBERTADOR,2008,2,Accidente,23580,23,,Rural,1
Accidente por MAP,CORDOBA,TIERRALTA,TIERRALTA,2008,2,Accidente,23807,23,,Rural,1
Accidente por MAP,GUAVIARE,SAN JOSÉ DEL GUAVIARE,SAN JOSÉ DEL GUAVIARE,2008,6,Accidente,95001,95,,Rural,1
Accidente por MAP,META,VISTAHERMOSA,VISTAHERMOSA,2008,4,Accidente,50711,50,,Rural,1
Accidente por MAP,ANTIOQUIA,VALDIVIA,PUERTO VALDIVIA,2008,10,Accidente,5854,5,,Rural,1
Accidente por MAP,PUTUMAYO,PUERTO ASÍS,PUERTO ASÍS,2008,4,Accidente,86568,86,,Rural,1
Accidente por MAP,NARIÑO,IPIALES,IPIALES,2008,10,Accidente,52356,52,,Rural,1
Accidente por MAP,ANTIOQUIA,VALDIVIA,VALDIVIA,2008,10,Accidente,5854,5,,Rural,1
Accidente por MAP,ANTIOQUIA,ITUANGO,El Peñol,2009,1,Accidente,5361,5,Carreteras,Rural,1
Accidente por MAP,NORTE DE SANTANDER,TIBÚ,TIBÚ,2008,11,Accidente,54810,54,,Rural,1
Accidente por MAP,BOLIVAR,SANTA ROSA DEL SUR,SANTA ROSA DEL SUR,2000,1,Accidente,13688,13,,Rural,1
Accidente por MAP,ANTIOQUIA,SAN LUIS,SAN LUIS,2004,10,Accidente,5660,5,,Rural,1
Accidente por MAP,NARIÑO,SAMANIEGO,CHUGULDÍ (CHUPÍN),2007,6,Accidente,52678,52,,Rural,1
Accidente por MAP,CAQUETA,MONTAÑITA,LA MONTAÑITA,2009,2,Accidente,18410,18,,Rural,1
Accidente por MAP,ANTIOQUIA,MEDELLÍN,MEDELLÍN,2010,3,Accidente,5001,5,,Rural,1
Accidente por MAP,NARIÑO,SAMANIEGO,SAMANIEGO,2010,3,Accidente,52678,52,Cerros,Rural,1
Accidente por MAP,ARAUCA,TAME,TAME,2010,3,Accidente,81794,81,Canos,Rural,1
Accidente por MAP,ANTIOQUIA,GRANADA,GRANADA,2004,11,Accidente,5313,5,,Rural,1
Accidente por MAP,HUILA,COLOMBIA,COLOMBIA,2009,3,Accidente,41206,41,,Rural,1
Accidente por MAP,NORTE DE SANTANDER,TIBÚ,TIBÚ,2008,10,Accidente,54810,54,,Rural,1
Accidente por MAP,CAUCA,BALBOA,BALBOA,2006,9,Accidente,19075,19,,Rural,1
Accidente por MAP,META,PUERTO RICO,PUERTO RICO,2006,3,Accidente,50590,50,,Rural,1
Accidente por MAP,BOLIVAR,SANTA ROSA DEL SUR,SANTA ROSA DEL SUR,2010,2,Accidente,13688,13,,Rural,1
Accidente por MAP,CORDOBA,CIÉNAGA DE ORO,CIÉNAGA DE ORO,2006,5,Accidente,23189,23,,Rural,1
Accidente por MAP,META,URIBE,URIBE,2009,5,Accidente,50370,50,Camino,Rural,1
Accidente por MAP,NARIÑO,SANTA CRUZ,GUACHAVES,2008,5,Accidente,52699,52,,Rural,1
Accidente por MAP,ANTIOQUIA,APARTADÓ,APARTADÓ,2010,5,Accidente,5045,5,,Rural,1
Accidente por MAP,NARIÑO,SAMANIEGO,SAMANIEGO,2010,5,Accidente,52678,52,Viviendas abandonadas,Rural,1
Accidente por MAP,VALLE DEL CAUCA,FLORIDA,FLORIDA,2010,5,Accidente,76275,76,,Rural,1
Accidente por MAP,CAUCA,EL TAMBO,EL TAMBO,2010,5,Accidente,19256,19,,Rural,1
Accidente por MAP,VICHADA,CUMARIBO,CUMARIBO,2010,5,Accidente,99773,99,,Rural,1
Accidente por MAP,CAUCA,CALOTO,CALOTO,2010,5,Accidente,19142,19,,Rural,1
Accidente por MAP,NORTE DE SANTANDER,TIBÚ,TIBÚ,2010,5,Accidente,54810,54,,Rural,1
Accidente por MAP,NORTE DE SANTANDER,TEORAMA,TEORAMA,2010,4,Accidente,54800,54,,Rural,1
Accidente por MAP,PUTUMAYO,PUERTO ASÍS,PUERTO ASÍS,2010,4,Accidente,86568,86,,Rural,1
