Tipo de evento,Departamento,Municipio,Corregimiento,Año,Mes,Evento,COD_DANE_MUNI,COD_DANE_DEPTO,Tipo de lugar,Tipo de area,Rotulo,Lat,Lon,Address
Accidente por MAP,NORTE DE SANTANDER,HACARÍ,HACARÍ,2010,4,Accidente,54344,54,,Rural,1,8.32043,-73.14481,"Hacari, Hacarí, Norte de Santander, Colombia"
Accidente por MAP,ARAUCA,ARAUQUITA,ARAUQUITA,2010,4,Accidente,81065,81,,Rural,1,7.029334,-71.4294759,"Arauquita, Arauquita, Arauca, Colombia"
Accidente por MAP,ANTIOQUIA,URRAO,LA ENCARNACIÓN,2010,4,Accidente,5847,5,Cerros,Rural,1,6.313861,-76.13181,"Urrao, Urrao, Antioquia, Colombia"
Accidente por MAP,VALLE DEL CAUCA,FLORIDA,FLORIDA,2010,4,Accidente,76275,76,,Rural,1,3.3213339,-76.235361,"Florida, Florida, Valle del Cauca, Colombia"
Accidente por MAP,ANTIOQUIA,VALDIVIA,VALDIVIA,2010,4,Accidente,5854,5,,Rural,1,7.29117,-75.39215,"Valdivia, Valdivia, Antioquia, Colombia"
Accidente por MAP,NARIÑO,EL ROSARIO,EL ROSARIO,2010,1,Accidente,52256,52,,Rural,1,1.74307,-77.335095,"El Rosario, El Rosario, Narino, Colombia"
Accidente por MAP,NARIÑO,SAMANIEGO,SAMANIEGO,2009,7,Accidente,52678,52,,Rural,1,1.332614,-77.586155,"Samaniego, Samaniego, Narino, Colombia"
Accidente por MAP,NORTE DE SANTANDER,SAN CALIXTO,SAN CALIXTO,2010,4,Accidente,54670,54,,Rural,1,8.4015989,-73.2089979,"San Calixto, San Calixto, North Santander, Colombia"
Accidente por MAP,VALLE DEL CAUCA,TULUÁ,TULUÁ,2010,4,Accidente,76834,76,,Rural,1,4.089869,-76.1914991,"Tulua, Tuluá, Valle del Cauca, Colombia"
Accidente por MAP,CAQUETA,SOLANO,SOLANO,2010,4,Accidente,18756,18,,Rural,1,0.699152,-75.253555,"Solano, Solano, Caquetá, Colombia"
Accidente por MAP,VALLE DEL CAUCA,FLORIDA,FLORIDA,2010,4,Accidente,76275,76,Sendero,Rural,1,3.3213339,-76.235361,"Florida, Florida, Valle del Cauca, Colombia"
Accidente por MAP,NARIÑO,SAMANIEGO,SAMANIEGO,2010,4,Accidente,52678,52,,Rural,1,1.332614,-77.586155,"Samaniego, Samaniego, Narino, Colombia"
Accidente por MAP,ANTIOQUIA,TARAZÁ,TARAZÁ,2010,4,Accidente,5790,5,,Rural,1,7.583191,-75.399966,"Tarazá, Tarazá, Antioquia, Colombia"
Accidente por MAP,META,MESETAS,MESETAS,2010,4,Accidente,50330,50,,Rural,1,3.381995,-74.043801,"Mesetas, Mesetas, Meta, Colombia"
Accidente por MAP,ANTIOQUIA,ITUANGO,ITUANGO,2010,4,Accidente,5361,5,Camino,Rural,1,7.172607,-75.76468,"Ituango, Ituango, Antioquia, Colombia"
Accidente por MAP,NARIÑO,SAMANIEGO,SAMANIEGO,2010,4,Accidente,52678,52,Cerros,Rural,1,1.332614,-77.586155,"Samaniego, Samaniego, Narino, Colombia"
Accidente por MAP,NARIÑO,SAMANIEGO,SAMANIEGO,2008,3,Accidente,52678,52,,Rural,1,1.332614,-77.586155,"Samaniego, Samaniego, Narino, Colombia"
Accidente por MAP,NARIÑO,SAMANIEGO,SAMANIEGO,2010,4,Accidente,52678,52,,Rural,1,1.332614,-77.586155,"Samaniego, Samaniego, Narino, Colombia"
Accidente por MAP,META,VISTAHERMOSA,VISTAHERMOSA,2008,11,Accidente,50711,50,,Rural,1,3.127883,-73.752512,"Vista Hermosa, Vistahermosa, Meta, Colombia"
Accidente por MAP,ANTIOQUIA,SONSÓN,SONSÓN,2007,4,Accidente,5756,5,,Rural,1,5.712002,-75.309798,"Sonsón, Sonsón, Antioquia, Colombia"
Accidente por MAP,GUAVIARE,SAN JOSÉ DEL GUAVIARE,SAN JOSÉ DEL GUAVIARE,2012,7,Accidente,95001,95,,Rural,1,2.568549,-72.6417265,"San José del Guaviare, San José Del Guaviare, Guaviare, Colombia"
Accidente por MAP,ANTIOQUIA,SAN RAFAEL,SAN RAFAEL,2006,3,Accidente,5667,5,,Rural,1,6.293544,-75.028577,"San Rafael, San Rafael, Antioquia, Colombia"
Accidente por MAP,CAUCA,POPAYÁN,POPAYÁN,2007,10,Accidente,19001,19,,Rural,1,2.4448143,-76.6147395,"Popayán, Popayán, Cauca Department, Colombia"
Accidente por MAP,PUTUMAYO,PUERTO ASÍS,PUERTO ASÍS,2008,4,Accidente,86568,86,,Rural,1,0.504929,-76.500191,"Puerto Asís, Puerto Asís, Putumayo, Colombia"
Accidente por MAP,CORDOBA,PUERTO LIBERTADOR,PUERTO LIBERTADOR,2009,11,Accidente,23580,23,,Rural,1,7.887952,-75.670944,"Puerto Libertador, Puerto Libertador, Cordoba, Colombia"
Accidente por MAP,CORDOBA,TIERRALTA,TIERRALTA,2010,1,Accidente,23807,23,,Rural,1,8.171571,-76.062313,"Tierralta, Tierralta, Córdoba, Colombia"
Accidente por MAP,NARIÑO,BARBACOAS,BARBACOAS,2010,1,Accidente,52079,52,,Rural,1,1.6733039,-78.138498,"Barbacoas, Barbacoas, Nariño, Colombia"
Accidente por MAP,ANTIOQUIA,TARAZÁ,TARAZÁ,2010,1,Accidente,5790,5,,Rural,1,7.583191,-75.399966,"Tarazá, Tarazá, Antioquia, Colombia"
Accidente por MAP,CAQUETA,PUERTO RICO,PUERTO RICO,2010,3,Accidente,18592,18,,Rural,1,1.909918,-75.157235,"Puerto Rico, Puerto Rico, Caquetá, Colombia"
Accidente por MAP,CAQUETA,FLORENCIA,FLORENCIA,2010,3,Accidente,18001,18,,Rural,1,1.6153858,-75.6042364,"Florencia, Florencia, Caquetá, Colombia"
