Event Date,Number of Victims,State,City,Location,Authorship,Source,Lat,Lon,Address
2000-07-02,5,Cesar,Agustin Codazzi,Corregimiento Casacará,Grupos Paramilitares,Noche y Niebla # 17 Pp. 48 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Pp. 305,10.034716,-73.237105,"Codazzi, Agustín Codazzi, Cesar, Colombia"
2000-08-30,4,Cesar,Agustin Codazzi,Cabecera Municipal,Grupos Paramilitares,Noche y Niebla # 17 Pp. 171 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Pp. 328 Unidad de Justicia y Paz. Masacres en el Cesar,10.034716,-73.237105,"Codazzi, Agustín Codazzi, Cesar, Colombia"
2000-11-26,7,Cesar,Agustin Codazzi,Vereda Las Delicias,Grupos Paramilitares,Noche y Niebla # 18 Pp. 163 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003,10.034716,-73.237105,"Codazzi, Agustín Codazzi, Cesar, Colombia"
2001-04-01,5,Cesar,Agustin Codazzi,Corregimiento Casacará,Grupo Armado No Identificado,Unidad de Justicia y Paz. Masacres en el Cesar Pp. 26,10.034716,-73.237105,"Codazzi, Agustín Codazzi, Cesar, Colombia"
2001-04-05,5,Cesar,Agustin Codazzi,Cabecera Municipal,Grupo Armado No Identificado,Unidad de Justicia y Paz. Masacres en el Cesar Pp. 24,10.034716,-73.237105,"Codazzi, Agustín Codazzi, Cesar, Colombia"
2001-04-21,5,Cesar,Agustin Codazzi,Zona Rural,Grupos Paramilitares,Noche y Niebla # 20 Pp. 60 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Pp. 362 Unidad de Justicia y Paz. Masacres en el Cesar,10.034716,-73.237105,"Codazzi, Agustín Codazzi, Cesar, Colombia"
2001-05-19,5,Cesar,Agustin Codazzi,Corregimiento Casacará,Grupos Paramilitares,Noche y Niebla # 20 Pp. 135 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Pp. 365 Unidad de Justicia y Paz. Masacres en el Cesar,10.034716,-73.237105,"Codazzi, Agustín Codazzi, Cesar, Colombia"
2001-12-01,4,Cesar,Agustin Codazzi,Zona Rural,Grupos Paramilitares,Noche y Niebla # 22 Pp. 79,10.034716,-73.237105,"Codazzi, Agustín Codazzi, Cesar, Colombia"
2002-02-28,5,Cesar,Agustin Codazzi,Corregimiento Llerasca,Grupos Paramilitares,Noche y Niebla # 23 Pp. 82 Unidad de Justicia y Paz. Masacres en el Cesar,10.034716,-73.237105,"Codazzi, Agustín Codazzi, Cesar, Colombia"
2002-06-09,4,Cesar,Agustin Codazzi,Sitio El Paraiso,Grupos Paramilitares,Noche y Niebla # 24 Pp. 104 Unidad de Justicia y Paz Masacres en el Cesar,10.034716,-73.237105,"Codazzi, Agustín Codazzi, Cesar, Colombia"
1992-10-22,7,Huila,Aipe,Zona Rural,Grupos Paramilitares,Boletín Justicia y Paz Vol 5 No 4 Pp. 18 Enterrar y Callar Vol. 2 Pp. 156,3.222095,-75.241066,"Aipe, Aipe, Huila, Colombia"
1998-04-06,4,Caquetá,Albania,Vereda Churuyaco,Guerrilla-FARC ,Noche y Niebla # 7 y 8 Pp. 91,1.328981,-75.878407,"Albania, Albania, Caquetá, Colombia"
2002-07-16,4,Caquetá,Albania,Vereda Frío Seco,Guerrilla-FARC ,Noche y Niebla # 25 Pp. 24,1.328981,-75.878407,"Albania, Albania, Caquetá, Colombia"
1999-05-11,7,Antioquia,Alejandria,Cabecera Municipal,Grupos Paramilitares,Noche y Niebla # 12 Pp. 76 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Pp. 266 Defensoría del Pueblo. Masacres ocurridas en Colombia 1999 Pp. 43,6.37488,-75.141637,"Alejandría, Alejandría, Antioquia, Colombia"
2001-04-02,5,Antioquia,Alejandria,Zona Rural,Grupo Armado No Identificado,Noche y Niebla # 20 Pp. 41,6.37488,-75.141637,"Alejandría, Alejandría, Antioquia, Colombia"
2001-10-16,12,Antioquia,Alejandria,"Veredas La Inmaculada, Las Cruces, El Popo y El Remango",Grupos Paramilitares,Noche y Niebla # 22 Pp. 20 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Pp. 386,6.37488,-75.141637,"Alejandría, Alejandría, Antioquia, Colombia"
1985-12-22,6,Cauca,Almaguer,Vereda Arrayanes,Guerrilla-FARC ,"Enterrar y Callar Pp. 112 EL TIEMPO, 24 de diciembre de 1985, p. 7A; VANGUARDIA LIBERAL, 24 de diciembre de 1985, p. 10",1.914182,-76.854839,"Almaguer, Almaguer, Cauca, Colombia"
1998-10-25,11,Bolívar,Altos del Rosario,Corregimiento La Pacha,Grupos Paramilitares,Noche y Niebla # 10 Pp. 45 Colombia Nunca Más. Crímenes de Lesa Humanidad. Zona 5 Sur de Bolívar,8.792732,-74.1643652,"Altos del Rosario, Altos Del Rosario, Bolivar, Colombia"
1991-09-27,4,Antioquia,Amaga,Vía a Medellin,Grupo Armado No Identificado,Boletín Justicia y Paz Vol. 4 No 3 Pp. 92,6.037113,-75.702277,"Amagá, Amagá, Antioquia, Colombia"
2000-02-15,5,Antioquia,Amaga,Sitios La Mina y Alto Nicanor,Grupos Paramilitares,Noche y Niebla # 15 Pp. 23 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Pp. 289 ,6.037113,-75.702277,"Amagá, Amagá, Antioquia, Colombia"
2000-03-30,4,Antioquia,Amaga,Veredas La Minita y Altos de Nicanor,Grupos Paramilitares,Noche y Niebla # 15 Pp. 184 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Pp. 293,6.037113,-75.702277,"Amagá, Amagá, Antioquia, Colombia"
2001-11-28,4,Antioquia,Amaga,,Grupos Paramilitares,Noche y Niebla # 22 Pp. 75,6.037113,-75.702277,"Amagá, Amagá, Antioquia, Colombia"
1982-08-05,8,Antioquia,Amalfi,IPD El Tigre-Vereda El Lagarto,Grupos Paramilitares,Enterrar y Callar Pp. 19 y 75.  Colombia Nunca Más. Crimenes de Lesa Humanidad. Zona 14,6.906448,-75.073161,"Amalfi, Amalfi, Antioquia, Colombia"
1997-11-19,4,Antioquia,Amalfi,Sitio Montañitas,Grupos Paramilitares,Noche y Niebla # 6 Pp. 37 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Colombia Nunca Más. Crímenes de Lesa Humanidad Zona 14 Pp. 612-613,6.906448,-75.073161,"Amalfi, Amalfi, Antioquia, Colombia"
1998-07-30,5,Antioquia,Amalfi,Vereda Naranjal,Guerrilla-ELN ,Noche y Niebla # 9 Pp. 45,6.906448,-75.073161,"Amalfi, Amalfi, Antioquia, Colombia"
1998-08-30,4,Antioquia,Amalfi,"Corregimiento Portachuelo, Caserío Arenas Blancas y Caserío Montebello",Guerrilla-ELN ,Noche y Niebla # 9 Pp. 72,6.906448,-75.073161,"Amalfi, Amalfi, Antioquia, Colombia"
2001-08-14,6,Antioquia,Amalfi,"Veredas San Miguel, La Floresta y Montebello- Caserío Arenas Blancas",Grupos Paramilitares,Noche y Niebla # 21 Pp. 115 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Pp. 374,6.906448,-75.073161,"Amalfi, Amalfi, Antioquia, Colombia"
1988-06-07,5,Antioquia,Andes,Vereda Buenos Aires,Grupo Armado No Identificado,Boletín Justicia y Paz Vol. 1 No 2 Pp. 52,5.656421,-75.879654,"Andes, Andes, Antioquia, Colombia"
1996-11-03,4,Antioquia,Andes,Sitio El Bosque,Grupos Paramilitares,Noche y Niebla # 2 Pp. 95  En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003,5.656421,-75.879654,"Andes, Andes, Antioquia, Colombia"
