Event Date,Event Type,Day,Month,Year,State,City,Location,Property Type,Authorship 1,Authorship 2,Fatal Victims,Injured,Source,Lat,Lon,Address
2002-01-15,Ataque a Propiedad,15,1,2002,La Guajira,Riohacha,"Veredas Marquetalia, San Salvador y  Perico Aguao",Vivienda Urbana - Mercancias u objetos materiales,Grupos Paramilitares,Grupos Paramilitares,,, Noche y Niebla # 23 Pp. 16,11.5384151,-72.9167838,"Riohacha, Riohacha, La Guajira, Colombia"
2002-02-14,Ataque a Propiedad,14,2,2002,La Guajira,Riohacha,Cabecera Municipal,Establecimiento Comercial,Grupo Armado No Identificado,Grupo Armado No Identificado,,, Noche y Niebla # 23 Pp. 64,11.5384151,-72.9167838,"Riohacha, Riohacha, La Guajira, Colombia"
2002-08-31,Masacre,31,8,2002,La Guajira,Riohacha,Corregimiento Tomarrazón,Vivienda - Mercancia o objetos Meteriales,Grupos Paramilitares,Grupos Paramilitares,,,Noche y Niebla # 25 Pp. 83 En Deuda con la Humanidad. Paramilitarismo de EsTadó en Colombia 1988-2003 Unidad de Justicia y Paz. Masacres en La Guajira,11.5384151,-72.9167838,"Riohacha, Riohacha, La Guajira, Colombia"
2005-02-16,Quema de Vehículos,16,2,2005,La Guajira,Riohacha,Corregimiento de Choles,Medios de Transporte,Guerrilla,Guerrilla-FARC,,,Noche y Niebla # 31 Pp. 85,11.5384151,-72.9167838,"Riohacha, Riohacha, La Guajira, Colombia"
2006-02-28,Quema de Vehículos,28,2,2006,La Guajira,Riohacha,Zona Rural,Medios de Transporte,Guerrilla,Guerrilla-FARC,,, Noche y Niebla # 33 Pp. 55,11.5384151,-72.9167838,"Riohacha, Riohacha, La Guajira, Colombia"
2007-04-26,Quema de Vehículos,26,4,2007,La Guajira,Riohacha,IP Galán,Medios de Transporte,Guerrilla,Guerrilla-FARC,,, Noche y Niebla # 35 Pp. 258,11.5384151,-72.9167838,"Riohacha, Riohacha, La Guajira, Colombia"
2008-05-20,Quema de Vehículos,20,5,2008,La Guajira,Riohacha,Vía Rioacha - Ebanal,Medios de Transporte,Guerrilla,Guerrilla-FARC,,, Noche y Niebla # 37 Pp. 161,11.5384151,-72.9167838,"Riohacha, Riohacha, La Guajira, Colombia"
2009-09-19,Ataque a Propiedad,19,9,2009,La Guajira,Riohacha,Zona Rural,Propiedad Rural - Mercancia u objetos materiales,Guerrilla,Guerrilla-FARC,,, Noche y Niebla # 40 Pp. 143,11.5384151,-72.9167838,"Riohacha, Riohacha, La Guajira, Colombia"
1990-12-11,Quema de Vehículos,11,12,1990,Santander,Rionegro,Sitio Yopal,Medios de Transporte,Guerrilla,Guerrilla-FARC,,,"Boletín Informativo Justicia y Paz. Volumen 3, #4. Pp 76",7.265055,-73.1504099,"Rionegro, Rionegro, Santander, Colombia"
1991-02-06,Sabotaje,6,2,1991,Santander,Rionegro,ID San Rafael de Lebrija,Infraestructura Energética,Guerrilla,Guerrilla-CGSB,,,"Boletín Informativo Justicia y Paz. Volumen 4, #1. PP. 76",7.265055,-73.1504099,"Rionegro, Rionegro, Santander, Colombia"
